task	reason	log
BLCA_R50_OS_RRTMIL	CUDA OOM	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/logs/official_5fold/BLCA_R50_OS_RRTMIL_seed1_ep20_20260716_221318.log
BLCA_R50_OS_TransMIL	CUDA OOM	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/logs/official_5fold/BLCA_R50_OS_TransMIL_seed1_ep20_20260716_194555.log
BLCA_UNI_OS_RRTMIL	CUDA OOM	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/logs/official_5fold/BLCA_UNI_OS_RRTMIL_seed1_ep20_20260716_214410.log
BLCA_UNI_OS_TransMIL	CUDA OOM	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/logs/official_5fold/BLCA_UNI_OS_TransMIL_seed1_ep20_20260716_221259.log
KIRC_R50_OS_RRTMIL	CUDA OOM	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/logs/official_5fold/KIRC_R50_OS_RRTMIL_seed1_ep20_20260716_115239.log
KIRC_R50_OS_TransMIL	CUDA OOM	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/logs/official_5fold/KIRC_R50_OS_TransMIL_seed1_ep20_20260716_151851.log
KIRC_R50_PFS_RRTMIL	CUDA OOM	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/logs/official_5fold/KIRC_R50_PFS_RRTMIL_seed1_ep20_20260716_184323.log
KIRC_R50_PFS_TransMIL	CUDA OOM	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/logs/official_5fold/KIRC_R50_PFS_TransMIL_seed1_ep20_20260716_214356.log
KIRC_UNI_OS_RRTMIL	CUDA OOM	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/logs/official_5fold/KIRC_UNI_OS_RRTMIL_seed1_ep20_20260716_115225.log
KIRC_UNI_OS_TransMIL	CUDA OOM	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/logs/official_5fold/KIRC_UNI_OS_TransMIL_seed1_ep20_20260716_115225.log
KIRC_UNI_PFS_RRTMIL	CUDA OOM	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/logs/official_5fold/KIRC_UNI_PFS_RRTMIL_seed1_ep20_20260716_151904.log
KIRC_UNI_PFS_TransMIL	CUDA OOM	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/logs/official_5fold/KIRC_UNI_PFS_TransMIL_seed1_ep20_20260716_184243.log
