dataset	feature	endpoint	model	mean_cindex	std_cindex	mean_epoch	result_csv	fold 0_cindex	fold 0_epoch	fold 1_cindex	fold 1_epoch	fold 2_cindex	fold 2_epoch	fold 3_cindex	fold 3_epoch	fold 4_cindex	fold 4_epoch
BLCA	R50	OS	AttMIL	0.5782	0.032	7.0	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/BLCA_R50_OS_rrtmil/[AttMIL]-[resnet50]-[2026-07-16]-[16-41-24]/results_AttMIL.csv	0.5179	0	0.5878	5	0.5841	14	0.5871	14	0.6141	2
BLCA	R50	OS	MaxMIL	0.5565	0.0742	8.2	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/BLCA_R50_OS_rrtmil/[MaxMIL]-[resnet50]-[2026-07-16]-[16-28-05]/results_MaxMIL.csv	0.5847	2	0.557	15	0.6235	2	0.4147	5	0.6024	17
BLCA	R50	OS	MeanMIL	0.6002	0.0395	9.6	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/BLCA_R50_OS_rrtmil/[MeanMIL]-[resnet50]-[2026-07-16]-[18-44-18]/results_MeanMIL.csv	0.5592	18	0.6682	13	0.576	2	0.5775	14	0.6203	1
BLCA	UNI	OS	AttMIL	0.6281	0.0535	0.4	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/BLCA_UNI_OS_rrtmil/[AttMIL]-[resnet50]-[2026-07-16]-[18-42-59]/results_AttMIL.csv	0.5675	0	0.691	0	0.6861	1	0.6251	1	0.5708	0
BLCA	UNI	OS	MaxMIL	0.5897	0.059	3.8	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/BLCA_UNI_OS_rrtmil/[MaxMIL]-[resnet50]-[2026-07-16]-[15-32-18]/results_MaxMIL.csv	0.6047	0	0.6542	4	0.5691	12	0.4864	1	0.6339	2
BLCA	UNI	OS	MeanMIL	0.6129	0.0568	2.0	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/BLCA_UNI_OS_rrtmil/[MeanMIL]-[resnet50]-[2026-07-16]-[15-19-54]/results_MeanMIL.csv	0.5744	1	0.6957	1	0.6373	4	0.6275	2	0.5294	2
KIRC	R50	OS	AttMIL	0.6263	0.0495	16.4	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/KIRC_R50_OS_rrtmil/[AttMIL]-[resnet50]-[2026-07-16]-[15-17-45]/results_AttMIL.csv	0.6961	16	0.5455	15	0.6384	17	0.6446	16	0.6067	18
KIRC	R50	OS	MaxMIL	0.6399	0.0343	3.0	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/KIRC_R50_OS_rrtmil/[MaxMIL]-[resnet50]-[2026-07-16]-[15-19-16]/results_MaxMIL.csv	0.6592	6	0.681	1	0.5808	0	0.6261	8	0.6522	0
KIRC	R50	OS	MeanMIL	0.6303	0.0452	12.4	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/KIRC_R50_OS_rrtmil/[MeanMIL]-[resnet50]-[2026-07-16]-[11-52-27]/results_MeanMIL.csv	0.6936	5	0.5628	14	0.6222	14	0.6641	13	0.6089	16
KIRC	R50	PFS	AttMIL	0.6652	0.0598	11.4	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/KIRC_R50_PFS_rrtmil/[AttMIL]-[resnet50]-[2026-07-16]-[19-26-26]/results_AttMIL.csv	0.7385	12	0.5852	15	0.6253	16	0.6469	0	0.7299	14
KIRC	R50	PFS	MaxMIL	0.6548	0.0463	9.4	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/KIRC_R50_PFS_rrtmil/[MaxMIL]-[resnet50]-[2026-07-16]-[15-18-24]/results_MaxMIL.csv	0.7218	14	0.6665	11	0.5866	6	0.6758	0	0.6235	16
KIRC	R50	PFS	MeanMIL	0.6634	0.0481	9.8	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/KIRC_R50_PFS_rrtmil/[MeanMIL]-[resnet50]-[2026-07-16]-[11-53-22]/results_MeanMIL.csv	0.7355	5	0.6032	10	0.6276	18	0.6511	0	0.6996	16
KIRC	UNI	OS	AttMIL	0.7416	0.0159	7.4	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/KIRC_UNI_OS_rrtmil/[AttMIL]-[resnet50]-[2026-07-16]-[11-52-27]/results_AttMIL.csv	0.7439	3	0.7369	15	0.7702	3	0.7345	11	0.7224	5
KIRC	UNI	OS	MaxMIL	0.685	0.0437	4.2	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/KIRC_UNI_OS_rrtmil/[MaxMIL]-[resnet50]-[2026-07-16]-[11-52-27]/results_MaxMIL.csv	0.7155	5	0.7458	9	0.6222	2	0.6538	1	0.6879	4
KIRC	UNI	OS	MeanMIL	0.7275	0.0198	4.8	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/KIRC_UNI_OS_rrtmil/[MeanMIL]-[resnet50]-[2026-07-16]-[11-52-27]/results_MeanMIL.csv	0.6981	5	0.7118	1	0.7434	1	0.7329	13	0.7515	4
KIRC	UNI	PFS	AttMIL	0.7746	0.0633	3.4	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/KIRC_UNI_PFS_rrtmil/[AttMIL]-[resnet50]-[2026-07-16]-[18-45-28]/results_AttMIL.csv	0.8103	3	0.7329	1	0.7842	7	0.6809	3	0.8649	3
KIRC	UNI	PFS	MaxMIL	0.7177	0.0488	8.4	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/KIRC_UNI_PFS_rrtmil/[MaxMIL]-[resnet50]-[2026-07-16]-[15-34-25]/results_MaxMIL.csv	0.7967	14	0.6603	8	0.672	5	0.7319	9	0.7277	6
KIRC	UNI	PFS	MeanMIL	0.7679	0.0655	4.6	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/KIRC_UNI_PFS_rrtmil/[MeanMIL]-[resnet50]-[2026-07-16]-[11-52-51]/results_MeanMIL.csv	0.7779	4	0.7144	1	0.7921	4	0.6835	0	0.8716	14
